id_label,pred
1700001_y1,0
1700001_y2,0
1700001_y3,0
1700001_y4,0
1700001_y5,0
1700001_y6,0
1700001_y7,0
1700001_y8,0
1700001_y9,0
1700001_y10,0
1700001_y11,0
1700001_y12,0
1700001_y13,0
1700001_y14,0
1700001_y15,0
1700001_y16,0
1700001_y17,0
1700001_y18,0
1700001_y19,0
1700001_y20,0
1700001_y21,0
1700001_y22,0
1700001_y23,0
1700001_y24,0
1700001_y25,0
1700001_y26,0
1700001_y27,0
1700001_y28,0
1700001_y29,0
1700001_y30,0
1700001_y31,0
1700001_y32,0
1700001_y33,0
1700002_y1,0
1700002_y2,0
1700002_y3,0
1700002_y4,0
1700002_y5,0
1700002_y6,0
1700002_y7,0
1700002_y8,0
1700002_y9,0
1700002_y10,0
1700002_y11,0
1700002_y12,0
1700002_y13,0
1700002_y14,0
1700002_y15,0
1700002_y16,0
1700002_y17,0
1700002_y18,0
1700002_y19,0
1700002_y20,0
1700002_y21,0
1700002_y22,0
1700002_y23,0
1700002_y24,0
1700002_y25,0
1700002_y26,0
1700002_y27,0
1700002_y28,0
1700002_y29,0
1700002_y30,0
1700002_y31,0
1700002_y32,0
1700002_y33,0
1700003_y1,0
1700003_y2,0
1700003_y3,0
1700003_y4,0
1700003_y5,0
1700003_y6,0
1700003_y7,0
1700003_y8,0
1700003_y9,0
1700003_y10,0
1700003_y11,0
1700003_y12,0
1700003_y13,0
1700003_y14,0
1700003_y15,0
1700003_y16,0
1700003_y17,0
1700003_y18,0
1700003_y19,0
1700003_y20,0
1700003_y21,0
1700003_y22,0
1700003_y23,0
1700003_y24,0
1700003_y25,0
1700003_y26,0
1700003_y27,0
1700003_y28,0
1700003_y29,0
1700003_y30,0
1700003_y31,0
1700003_y32,0
1700003_y33,0
1700004_y1,0
1700004_y2,0
1700004_y3,0
1700004_y4,0
1700004_y5,0
1700004_y6,0
1700004_y7,0
1700004_y8,0
1700004_y9,0
1700004_y10,0
1700004_y11,0
1700004_y12,0
1700004_y13,0
1700004_y14,0
1700004_y15,0
1700004_y16,0
1700004_y17,0
1700004_y18,0
1700004_y19,0
1700004_y20,0
1700004_y21,0
1700004_y22,0
1700004_y23,0
1700004_y24,0
1700004_y25,0
1700004_y26,0
1700004_y27,0
1700004_y28,0
1700004_y29,0
1700004_y30,0
1700004_y31,0
1700004_y32,0
1700004_y33,0
1700005_y1,0
1700005_y2,0
1700005_y3,0
1700005_y4,0
1700005_y5,0
1700005_y6,0
1700005_y7,0
1700005_y8,0
1700005_y9,0
1700005_y10,0
1700005_y11,0
1700005_y12,0
1700005_y13,0
1700005_y14,0
1700005_y15,0
1700005_y16,0
1700005_y17,0
1700005_y18,0
1700005_y19,0
1700005_y20,0
1700005_y21,0
1700005_y22,0
1700005_y23,0
1700005_y24,0
1700005_y25,0
1700005_y26,0
1700005_y27,0
1700005_y28,0
1700005_y29,0
1700005_y30,0
1700005_y31,0
1700005_y32,0
1700005_y33,0
1700006_y1,0
1700006_y2,0
1700006_y3,0
1700006_y4,0
1700006_y5,0
1700006_y6,0
1700006_y7,0
1700006_y8,0
1700006_y9,0
1700006_y10,0
1700006_y11,0
1700006_y12,0
1700006_y13,0
1700006_y14,0
1700006_y15,0
1700006_y16,0
1700006_y17,0
1700006_y18,0
1700006_y19,0
1700006_y20,0
1700006_y21,0
1700006_y22,0
1700006_y23,0
1700006_y24,0
1700006_y25,0
1700006_y26,0
1700006_y27,0
1700006_y28,0
1700006_y29,0
1700006_y30,0
1700006_y31,0
1700006_y32,0
1700006_y33,0
1700007_y1,0
1700007_y2,0
1700007_y3,0
1700007_y4,0
1700007_y5,0
1700007_y6,0
1700007_y7,0
1700007_y8,0
1700007_y9,0
1700007_y10,0
1700007_y11,0
1700007_y12,0
1700007_y13,0
1700007_y14,0
1700007_y15,0
1700007_y16,0
1700007_y17,0
1700007_y18,0
1700007_y19,0
1700007_y20,0
1700007_y21,0
1700007_y22,0
1700007_y23,0
1700007_y24,0
1700007_y25,0
1700007_y26,0
1700007_y27,0
1700007_y28,0
1700007_y29,0
1700007_y30,0
1700007_y31,0
1700007_y32,0
1700007_y33,0
1700008_y1,0
1700008_y2,0
1700008_y3,0
1700008_y4,0
1700008_y5,0
1700008_y6,0
1700008_y7,0
1700008_y8,0
1700008_y9,0
1700008_y10,0
1700008_y11,0
1700008_y12,0
1700008_y13,0
1700008_y14,0
1700008_y15,0
1700008_y16,0
1700008_y17,0
1700008_y18,0
1700008_y19,0
